Mobile_Name,Mobile_Price,Rating,Image_URL
"Vivo Y51A (Titanium Sapphire, 8GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹15,499",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71BRHXBME2L._AC_UL320_.jpg
"Vivo V20 SE Aquamarine Green, 8GB RAM, 128GB Storage","₹13,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61vIXtqnXSL._AC_UL320_.jpg
"Vivo Y31 (Racing Black, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹15,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61SqqzpSWTL._AC_UL320_.jpg
"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera","₹11,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61K6JcPwbQL._AC_UL320_.jpg
"Realme 7 (Mist White, 128 GB) (8 GB RAM)","₹16,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/31A7BDld35L._AC_UL320_.jpg
"Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹19,999",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71usqWEJleL._AC_UL320_.jpg
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹18,499",3.6 out of 5 stars,https://m.media-amazon.com/images/I/714QWDxXgNL._AC_UL320_.jpg
"Gionee A1 Lite 1618GI (Gold, 32GB)","₹22,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81liwLMTJ7L._AC_UL320_.jpg
"Vivo Y20 (Purist Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51GkdMbNKfL._AC_UL320_.jpg
"Vivo Y20G (Purist Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/51YRlT-paHL._AC_UL320_.jpg
"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61wXFmyMLQL._AC_UL320_.jpg
"Vivo V20 SE Gravity Black, 8GB RAM, 128GB Storage","₹15,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51MKKpo0GDL._AC_UL320_.jpg
"Realme 7 Pro (Mirror Silver, 6GB RAM, 128GB Storage)","₹17,199",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41+YvnNeAJL._AC_UL320_.jpg
"Realme C15 (Power Blue, 4GB RAM, 64GB Storage)","₹16,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/41oIVOfpZwL._AC_UL320_.jpg
"Vivo Y20 (Dawn White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/710zedIX2RL._AC_UL320_.jpg
